id,playerName,position,age,games,gamesStarted,minutesPg,fieldGoals,fieldAttempts,fieldPercent,threeFg,threeAttempts,threePercent,twoFg,twoAttempts,twoPercent,effectFgPercent,ft,ftAttempts,ftPercent,offensiveRb,defensiveRb,totalRb,assists,steals,blocks,turnovers,personalFouls,points,team,season,playerId
18565,Dennis Schröder,PG,30,80,58,2486,403,927,0.435,138,368,0.375,265,559,0.474,0.509,178,213,0.836,39,203,242,488,63,17,153,164,1122,TOT,2024,schrode01
18566,Dennis Schröder,PG,30,51,33,1559,247,559,0.442,77,220,0.35,170,339,0.501,0.511,127,149,0.852,22,118,140,313,46,8,83,105,698,TOR,2024,schrode01
18567,Dennis Schröder,PG,30,29,25,927,156,368,0.424,61,148,0.412,95,220,0.432,0.507,51,64,0.797,17,85,102,175,17,9,70,59,424,BRK,2024,schrode01
18568,Dereon Seabron,SG,23,6,0,55,4,13,0.308,1,2,0.5,3,11,0.273,0.346,5,6,0.833,1,6,7,5,2,1,0,4,14,NOP,2024,seabrde01
18569,Alperen Sengun,C,21,63,63,2046,527,982,0.537,33,111,0.297,494,871,0.567,0.553,244,352,0.693,183,406,589,312,76,46,162,211,1331,HOU,2024,sengual01
18570,Brice Sensabaugh,SF,20,32,11,584,85,218,0.39,34,115,0.296,51,103,0.495,0.468,37,41,0.902,16,86,102,55,13,6,47,43,241,UTA,2024,sensabr01
18571,Collin Sexton,SG,25,78,51,2075,506,1038,0.487,128,325,0.394,378,713,0.53,0.549,318,370,0.859,71,134,205,383,62,18,165,154,1458,UTA,2024,sextoco01
18572,Landry Shamet,SG,26,46,5,726,118,274,0.431,53,157,0.338,65,117,0.556,0.527,38,46,0.826,16,46,62,54,25,10,30,76,327,WAS,2024,shamela01
18573,Day'Ron Sharpe,C,22,61,1,921,168,294,0.571,4,15,0.267,164,279,0.588,0.578,75,123,0.61,161,228,389,85,24,44,70,131,415,BRK,2024,sharpda01
18574,Shaedon Sharpe,SG,20,32,25,1059,176,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510,POR,2024,sharpsh01
18575,Ben Sheppard,SG,22,57,1,814,90,229,0.393,49,156,0.314,41,73,0.562,0.5,23,26,0.885,15,74,89,53,33,2,15,88,252,IND,2024,sheppbe01
18576,Pascal Siakam,PF,29,80,80,2657,681,1271,0.536,85,246,0.346,596,1025,0.581,0.569,290,396,0.732,139,426,565,342,63,25,141,193,1737,TOT,2024,siakapa01
18577,Pascal Siakam,PF,29,39,39,1354,325,623,0.522,46,145,0.317,279,478,0.584,0.559,169,223,0.758,54,192,246,190,32,10,83,87,865,TOR,2024,siakapa01
18578,Pascal Siakam,PF,29,41,41,1303,356,648,0.549,39,101,0.386,317,547,0.58,0.579,121,173,0.699,85,234,319,152,31,15,58,106,872,IND,2024,siakapa01
18579,Ben Simmons,PG,27,15,12,359,43,74,0.581,0,0,,43,74,0.581,0.581,6,15,0.4,31,88,119,86,12,9,27,36,92,BRK,2024,simmobe01
18580,Kobi Simmons,PG,26,4,0,67,9,21,0.429,2,8,0.25,7,13,0.538,0.476,0,0,,1,6,7,12,6,2,1,5,20,TOR,2024,simmoko01
18581,Anfernee Simons,SG,24,46,46,1582,360,837,0.43,156,405,0.385,204,432,0.472,0.523,163,178,0.916,22,145,167,255,23,5,126,98,1039,POR,2024,simonan01
18582,Zavier Simpson,PG,26,7,0,161,17,54,0.315,5,17,0.294,12,37,0.324,0.361,3,4,0.75,4,16,20,25,7,3,10,11,42,MEM,2024,simpsza01
18583,Jericho Sims,C,25,45,11,585,38,55,0.691,0,0,,38,55,0.691,0.691,16,24,0.667,56,91,147,25,8,19,16,45,92,NYK,2024,simsje01
18584,Dmytro Skapintsev,C,25,2,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,NYK,2024,skapidm01
18585,Jalen Slawson,SF,24,12,0,37,4,6,0.667,0,2,0,4,4,1,0.667,0,0,,1,6,7,2,1,1,2,8,8,SAC,2024,slawsja01
18586,Javonte Smart,PG,24,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,PHI,2024,smartja01
18587,Marcus Smart,PG,29,20,20,605,102,237,0.43,42,134,0.313,60,103,0.583,0.519,43,56,0.768,6,47,53,86,41,5,62,53,289,MEM,2024,smartma01
18588,Dennis Smith Jr.,PG,26,56,2,1059,147,338,0.435,32,109,0.294,115,229,0.502,0.482,43,58,0.741,50,114,164,203,68,12,68,121,369,BRK,2024,smithde03
18589,Dru Smith,SG,26,9,0,131,15,33,0.455,7,17,0.412,8,16,0.5,0.561,2,2,1,6,8,14,14,9,3,5,12,39,MIA,2024,smithdr01
18590,Ish Smith,PG,35,43,5,741,66,158,0.418,4,8,0.5,62,150,0.413,0.43,3,4,0.75,11,65,76,145,17,4,47,49,139,CHO,2024,smithis01
18591,Jabari Smith Jr.,PF,20,76,76,2424,378,833,0.454,138,380,0.363,240,453,0.53,0.537,150,185,0.811,139,477,616,121,52,61,89,200,1044,HOU,2024,smithja05
18592,Jalen Smith,C,23,61,14,1047,234,395,0.592,61,144,0.424,173,251,0.689,0.67,72,104,0.692,112,225,337,63,17,38,44,124,601,IND,2024,smithja04
18593,Nick Smith Jr.,SG,19,51,0,729,113,289,0.391,63,146,0.432,50,143,0.35,0.5,13,15,0.867,18,54,72,59,10,7,39,55,302,CHO,2024,smithni01
18594,Terquavion Smith,PG,21,16,0,84,18,46,0.391,13,35,0.371,5,11,0.455,0.533,3,5,0.6,0,4,4,12,8,0,7,8,52,PHI,2024,smithte01
18595,Jeremy Sochan,PF,20,74,73,2193,340,776,0.438,70,227,0.308,270,549,0.492,0.483,111,144,0.771,137,339,476,249,62,40,140,168,861,SAS,2024,sochaje01
18596,Pat Spencer,PG,27,6,0,26,2,4,0.5,0,2,0,2,2,1,0.5,0,0,,2,2,4,5,0,0,1,1,4,GSW,2024,spencpa01
18597,Jaden Springer,SG-PG,21,49,2,507,59,148,0.399,10,48,0.208,49,100,0.49,0.432,35,42,0.833,33,45,78,44,36,15,34,66,163,TOT,2024,sprinja01
18598,Jaden Springer,SG,21,32,1,377,46,118,0.39,8,37,0.216,38,81,0.469,0.424,28,34,0.824,25,33,58,35,25,11,26,49,128,PHI,2024,sprinja01
18599,Jaden Springer,PG,21,17,1,130,13,30,0.433,2,11,0.182,11,19,0.579,0.467,7,8,0.875,8,12,20,9,11,4,8,17,35,BOS,2024,sprinja01
18600,Lamar Stevens,PF,26,38,3,559,108,240,0.45,14,46,0.304,94,194,0.485,0.479,42,54,0.778,36,91,127,28,23,22,24,45,272,TOT,2024,stevela01
18601,Lamar Stevens,PF,26,19,1,122,21,45,0.467,3,8,0.375,18,37,0.486,0.5,8,11,0.727,12,19,31,8,6,5,9,14,53,BOS,2024,stevela01
18602,Lamar Stevens,PF,26,19,2,437,87,195,0.446,11,38,0.289,76,157,0.484,0.474,34,43,0.791,24,72,96,20,17,17,15,31,219,MEM,2024,stevela01
18603,Isaiah Stewart,PF,22,46,45,1423,186,382,0.487,67,175,0.383,119,207,0.575,0.575,64,85,0.753,74,231,305,73,17,38,66,99,503,DET,2024,stewais01
18604,Julian Strawther,SF,21,50,0,545,82,222,0.369,41,138,0.297,41,84,0.488,0.462,22,31,0.71,5,56,61,47,17,7,23,54,227,DEN,2024,strawju01
18605,Max Strus,SF,27,70,70,2239,304,728,0.418,168,479,0.351,136,249,0.546,0.533,77,97,0.794,66,272,338,283,64,29,112,170,853,CLE,2024,strusma01
18606,Jalen Suggs,SG,22,75,75,2025,336,714,0.471,153,385,0.397,183,329,0.556,0.578,118,156,0.756,48,181,229,205,106,47,132,205,943,ORL,2024,suggsja01
18607,Cole Swider,SF,24,18,0,87,15,38,0.395,10,30,0.333,5,8,0.625,0.526,2,2,1,1,6,7,5,1,1,8,4,42,MIA,2024,swideco01
18608,Jae'Sean Tate,SF,28,65,9,1031,108,229,0.472,23,77,0.299,85,152,0.559,0.522,26,39,0.667,61,136,197,64,42,15,37,137,265,HOU,2024,tateja01
18609,Jayson Tatum,PF,25,74,74,2645,672,1426,0.471,229,609,0.376,443,817,0.542,0.552,414,497,0.833,67,534,601,364,75,43,188,145,1987,BOS,2024,tatumja01
18610,Terry Taylor,PF,24,31,0,188,20,39,0.513,2,9,0.222,18,30,0.6,0.538,4,5,0.8,17,20,37,10,5,2,7,17,46,CHI,2024,taylote01
18611,Garrett Temple,SG,37,27,2,289,29,78,0.372,12,40,0.3,17,38,0.447,0.449,18,22,0.818,18,27,45,28,12,3,14,28,88,TOR,2024,templga01
18612,Dalen Terry,SG,21,59,2,681,69,157,0.439,17,74,0.23,52,83,0.627,0.494,25,43,0.581,29,84,113,81,27,18,32,81,180,CHI,2024,terryda01
18613,Daniel Theis,C,31,60,3,1015,156,293,0.532,26,71,0.366,130,222,0.586,0.577,38,50,0.76,85,159,244,61,21,51,42,127,376,TOT,2024,theisda01
18614,Daniel Theis,C,31,1,0,8,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,0,0,0,0,0,0,0,1,2,IND,2024,theisda01
18615,Daniel Theis,C,31,59,3,1007,155,289,0.536,26,70,0.371,129,219,0.589,0.581,38,50,0.76,85,159,244,61,21,51,42,126,374,LAC,2024,theisda01
18616,Cam Thomas,SG,22,66,51,2075,526,1190,0.442,144,396,0.364,382,794,0.481,0.503,286,334,0.856,28,186,214,192,45,16,124,138,1482,BRK,2024,thomaca02
18617,Isaiah Thomas,PG,34,6,0,19,3,10,0.3,2,4,0.5,1,6,0.167,0.4,0,0,,0,0,0,3,0,0,0,0,8,PHO,2024,thomais02
18618,Amen Thompson,SF,21,62,23,1388,239,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,HOU,2024,thompam01
18619,Ausar Thompson,SF,21,63,38,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,DET,2024,thompau01
18620,Klay Thompson,SF,33,77,63,2284,490,1133,0.432,268,692,0.387,222,441,0.503,0.551,127,137,0.927,35,219,254,176,50,35,117,127,1375,GSW,2024,thompkl01
18621,Tristan Thompson,C,32,49,0,549,73,120,0.608,0,1,0,73,119,0.613,0.608,15,52,0.288,73,101,174,51,12,14,29,59,161,CLE,2024,thomptr01
18622,JT Thor,PF,21,63,3,781,80,183,0.437,28,81,0.346,52,102,0.51,0.514,11,20,0.55,43,103,146,29,11,27,15,60,199,CHO,2024,thorjt01
18623,Matisse Thybulle,SF,26,65,19,1487,126,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354,POR,2024,thybuma01
18624,Xavier Tillman Sr.,C-PF,25,54,15,974,121,279,0.434,20,81,0.247,101,198,0.51,0.47,22,50,0.44,70,141,211,77,51,44,34,75,284,TOT,2024,tillmxa01
18625,Xavier Tillman Sr.,C,25,34,13,700,87,213,0.408,12,53,0.226,75,160,0.469,0.437,18,43,0.419,56,101,157,57,42,35,29,60,204,MEM,2024,tillmxa01
18626,Xavier Tillman Sr.,PF,25,20,2,274,34,66,0.515,8,28,0.286,26,38,0.684,0.576,4,7,0.571,14,40,54,20,9,9,5,15,80,BOS,2024,tillmxa01
18627,Jacob Toppin,SF,23,9,0,38,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,3,4,7,3,0,1,1,3,13,NYK,2024,toppija01
18628,Obi Toppin,PF,25,82,28,1730,332,579,0.573,102,253,0.403,230,326,0.706,0.661,77,100,0.77,85,235,320,128,47,43,69,143,843,IND,2024,toppiob01
18629,Juan Toscano-Anderson,SF,30,11,0,53,3,12,0.25,1,4,0.25,2,8,0.25,0.292,0,0,,4,10,14,4,1,1,2,11,7,SAC,2024,toscaju01
18630,Karl-Anthony Towns,PF,28,62,62,2026,479,951,0.504,136,327,0.416,343,624,0.55,0.575,255,292,0.873,94,421,515,189,43,41,177,204,1349,MIN,2024,townska01
18631,Gary Trent Jr.,SG,25,71,41,1994,361,847,0.426,178,453,0.393,183,394,0.464,0.531,74,96,0.771,25,163,188,119,77,10,47,96,974,TOR,2024,trentga02
18632,Oscar Tshiebwe,PF,24,8,0,42,10,20,0.5,0,0,,10,20,0.5,0.5,6,8,0.75,8,8,16,2,2,1,0,3,26,IND,2024,tshieos01
18633,P.J. Tucker,PF,38,31,10,486,18,50,0.36,13,35,0.371,5,15,0.333,0.49,3,3,1,28,57,85,16,16,7,8,54,52,TOT,2024,tuckepj01
18634,P.J. Tucker,PF,38,3,3,66,2,5,0.4,2,5,0.4,0,0,,0.6,0,0,,1,13,14,0,3,2,2,9,6,PHI,2024,tuckepj01
18635,P.J. Tucker,PF,38,28,7,420,16,45,0.356,11,30,0.367,5,15,0.333,0.478,3,3,1,27,44,71,16,13,5,6,45,46,LAC,2024,tuckepj01
18636,Myles Turner,C,27,77,77,2076,476,909,0.524,116,324,0.358,360,585,0.615,0.587,245,317,0.773,113,420,533,100,39,144,109,232,1313,IND,2024,turnemy01
18637,Hunter Tyson,PF,23,18,0,48,8,20,0.4,4,14,0.286,4,6,0.667,0.5,0,0,,1,8,9,2,1,0,2,10,20,DEN,2024,tysonhu01
18638,Stanley Umude,SG,24,24,2,307,37,84,0.44,24,53,0.453,13,31,0.419,0.583,29,32,0.906,8,43,51,11,8,7,14,40,127,DET,2024,umudest01
18639,Jonas Valančiūnas,C,31,82,82,1925,402,719,0.559,37,120,0.308,365,599,0.609,0.585,161,205,0.785,186,535,721,173,32,68,111,218,1002,NOP,2024,valanjo01
18640,Jarred Vanderbilt,PF,24,29,6,581,59,114,0.518,8,27,0.296,51,87,0.586,0.553,24,36,0.667,41,97,138,36,36,5,28,43,150,LAL,2024,vandeja01
18641,Fred VanVleet,PG,29,73,73,2684,423,1018,0.416,227,586,0.387,196,432,0.454,0.527,197,229,0.86,33,245,278,589,101,59,126,183,1270,HOU,2024,vanvlfr01
18642,Devin Vassell,SG,23,68,62,2248,498,1056,0.472,166,446,0.372,332,610,0.544,0.55,161,201,0.801,27,234,261,277,73,23,108,74,1323,SAS,2024,vassede01
18643,Sasha Vezenkov,PF,28,42,0,511,84,191,0.44,45,120,0.375,39,71,0.549,0.558,12,15,0.8,30,66,96,19,20,7,12,42,225,SAC,2024,vezenal01
18644,Gabe Vincent,PG,27,11,0,218,15,49,0.306,3,28,0.107,12,21,0.571,0.337,1,2,0.5,4,5,9,21,9,0,5,19,34,LAL,2024,vincega01
18645,Nikola Vučević,C,33,76,74,2610,586,1211,0.484,92,313,0.294,494,898,0.55,0.522,106,129,0.822,210,591,801,254,50,60,120,190,1370,CHI,2024,vucevni01
18646,Tristan Vukcevic,C,20,10,4,153,29,67,0.433,10,36,0.278,19,31,0.613,0.507,17,22,0.773,6,30,36,13,5,7,10,28,85,WAS,2024,vukcetr01
18647,Dean Wade,PF,27,54,32,1108,96,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,CLE,2024,wadede01
18648,Franz Wagner,SF,22,72,72,2337,528,1096,0.482,94,334,0.281,434,762,0.57,0.525,271,319,0.85,72,309,381,269,76,28,137,168,1421,ORL,2024,wagnefr01
18649,Moritz Wagner,C,26,80,1,1415,332,552,0.601,38,115,0.33,294,437,0.673,0.636,166,204,0.814,117,230,347,96,39,21,97,160,868,ORL,2024,wagnemo01
18650,Ish Wainright,SF,29,11,0,62,7,24,0.292,7,20,0.35,0,4,0,0.438,2,2,1,3,11,14,1,4,1,2,8,23,TOT,2024,wainris01
18651,Ish Wainright,SF,29,7,0,46,6,18,0.333,6,16,0.375,0,2,0,0.5,2,2,1,0,9,9,0,2,1,1,4,20,POR,2024,wainris01
18652,Ish Wainright,SF,29,4,0,16,1,6,0.167,1,4,0.25,0,2,0,0.25,0,0,,3,2,5,1,2,0,1,4,3,PHO,2024,wainris01
18653,Jabari Walker,SF,21,72,23,1700,234,509,0.46,41,139,0.295,193,370,0.522,0.5,129,171,0.754,151,357,508,71,42,22,66,173,638,POR,2024,walkeja01
18654,Jarace Walker,PF,20,33,0,340,45,110,0.409,22,55,0.4,23,55,0.418,0.509,8,9,0.889,12,51,63,40,15,11,17,29,120,IND,2024,walkeja02
18655,Lonnie Walker IV,SG,25,58,0,1011,208,492,0.423,104,271,0.384,104,221,0.471,0.528,45,59,0.763,13,114,127,74,32,20,51,71,565,BRK,2024,walkelo01
18656,Cason Wallace,SG,20,82,13,1692,217,442,0.491,98,234,0.419,119,208,0.572,0.602,29,37,0.784,52,135,187,120,76,37,45,129,561,OKC,2024,wallaca01
18657,Jordan Walsh,SF,19,9,1,83,6,15,0.4,2,9,0.222,4,6,0.667,0.467,1,2,0.5,5,15,20,5,5,1,3,11,15,BOS,2024,walshjo01
18658,T.J. Warren,SF,30,11,0,125,18,41,0.439,2,13,0.154,16,28,0.571,0.463,3,4,0.75,5,17,22,9,4,1,4,11,41,MIN,2024,warretj01
18659,P.J. Washington,PF,25,73,45,2221,354,811,0.436,132,413,0.32,222,398,0.558,0.518,99,145,0.683,85,326,411,141,72,59,96,169,939,TOT,2024,washipj01
18660,P.J. Washington,PF,25,44,17,1286,227,509,0.446,79,244,0.324,148,265,0.558,0.524,67,94,0.713,53,179,232,97,38,32,66,112,600,CHO,2024,washipj01
18661,P.J. Washington,PF,25,29,28,935,127,302,0.421,53,169,0.314,74,133,0.556,0.508,32,51,0.627,32,147,179,44,34,27,30,57,339,DAL,2024,washipj01
18662,TyTy Washington Jr.,PG,22,11,0,56,6,20,0.3,2,6,0.333,4,14,0.286,0.35,0,0,,1,4,5,5,3,0,2,1,14,MIL,2024,washity02
18663,Yuta Watanabe,SF,29,34,0,464,41,116,0.353,25,85,0.294,16,31,0.516,0.461,10,17,0.588,11,43,54,15,12,7,19,39,117,TOT,2024,watanyu01
18664,Yuta Watanabe,SF,29,29,0,382,35,97,0.361,24,75,0.32,11,22,0.5,0.485,10,15,0.667,11,34,45,10,9,7,16,34,104,PHO,2024,watanyu01
18665,Yuta Watanabe,SF,29,5,0,82,6,19,0.316,1,10,0.1,5,9,0.556,0.342,0,2,0,0,9,9,5,3,0,3,5,13,MEM,2024,watanyu01
18666,Lindy Waters III,SG,26,38,0,280,49,104,0.471,37,85,0.435,12,19,0.632,0.649,2,2,1,7,33,40,24,5,7,7,23,137,OKC,2024,waterli01
18667,Trendon Watford,PF,23,63,2,856,164,311,0.527,27,68,0.397,137,243,0.564,0.571,77,97,0.794,52,142,194,81,23,19,63,106,432,BRK,2024,watfotr01
18668,Peyton Watson,SF,21,80,4,1488,208,447,0.465,45,152,0.296,163,295,0.553,0.516,71,106,0.67,56,202,258,86,42,88,58,143,532,DEN,2024,watsope01
18669,Victor Wembanyama,C,20,71,71,2106,551,1186,0.465,128,394,0.325,423,792,0.534,0.519,292,367,0.796,161,594,755,274,88,254,260,153,1522,SAS,2024,wembavi01
18670,Blake Wesley,SG,20,61,3,876,102,215,0.474,12,55,0.218,90,160,0.563,0.502,52,78,0.667,18,76,94,166,29,9,55,89,268,SAS,2024,weslebl01
18671,Russell Westbrook,PG,35,68,11,1529,301,663,0.454,42,154,0.273,259,509,0.509,0.486,110,160,0.688,93,250,343,306,74,23,144,121,754,LAC,2024,westbru01
18672,Coby White,PG,23,79,78,2881,541,1209,0.447,209,556,0.376,332,653,0.508,0.534,218,260,0.838,44,314,358,405,53,18,166,186,1509,CHI,2024,whiteco01
18673,Derrick White,SG,29,73,73,2381,387,839,0.461,196,495,0.396,191,344,0.555,0.578,137,152,0.901,51,259,310,377,74,87,112,152,1107,BOS,2024,whitede01
18674,Jack White,SF,26,4,0,64,2,16,0.125,2,10,0.2,0,6,0,0.188,0,0,,4,8,12,1,4,1,2,3,6,MEM,2024,whiteja03
18675,Cam Whitmore,SF,19,47,2,880,212,467,0.454,79,220,0.359,133,247,0.538,0.539,76,112,0.679,44,136,180,33,30,17,46,64,579,HOU,2024,whitmca01
18676,Aaron Wiggins,SG,25,78,4,1228,212,377,0.562,62,126,0.492,150,251,0.598,0.645,56,71,0.789,60,126,186,86,56,19,56,91,542,OKC,2024,wiggiaa01
18677,Andrew Wiggins,SF,28,71,59,1920,353,780,0.453,91,254,0.358,262,526,0.498,0.511,142,189,0.751,108,213,321,119,42,41,87,147,939,GSW,2024,wiggian01
18678,Lindell Wigginton,PG,25,3,0,8,2,5,0.4,0,2,0,2,3,0.667,0.4,2,2,1,0,0,0,0,0,0,1,1,6,MIL,2024,wiggili01
18679,Alondes Williams,SG,24,7,0,16,2,8,0.25,0,4,0,2,4,0.5,0.25,1,1,1,0,1,1,0,0,1,2,2,5,MIA,2024,willial06
18680,Brandon Williams,PG,24,17,0,113,20,54,0.37,3,15,0.2,17,39,0.436,0.398,11,17,0.647,4,9,13,17,1,1,7,4,54,DAL,2024,willibr03
18681,Grant Williams,PF,25,76,43,2130,276,605,0.456,126,336,0.375,150,269,0.558,0.56,106,140,0.757,86,232,318,174,44,39,109,226,784,TOT,2024,willigr01
18682,Grant Williams,PF,25,47,33,1242,131,317,0.413,79,210,0.376,52,107,0.486,0.538,41,55,0.745,46,123,169,81,24,27,53,137,382,DAL,2024,willigr01
18683,Grant Williams,PF,25,29,10,888,145,288,0.503,47,126,0.373,98,162,0.605,0.585,65,85,0.765,40,109,149,93,20,12,56,89,402,CHO,2024,willigr01
18684,Jalen Williams,PF,22,71,71,2223,536,993,0.54,103,241,0.427,433,752,0.576,0.592,180,221,0.814,37,245,282,322,80,45,123,175,1355,OKC,2024,willija06
18685,Jaylin Williams,C,21,69,1,897,95,228,0.417,53,144,0.368,42,84,0.5,0.533,33,41,0.805,36,198,234,110,28,27,34,98,276,OKC,2024,willija07
18686,Jeenathan Williams,SG,24,22,0,129,27,50,0.54,2,5,0.4,25,45,0.556,0.56,7,13,0.538,12,11,23,7,4,1,4,10,63,HOU,2024,willije02
18687,Kenrich Williams,PF,29,69,1,1029,131,280,0.468,56,141,0.397,75,139,0.54,0.568,7,14,0.5,61,148,209,93,38,9,32,101,325,OKC,2024,willike04
18688,Malik Williams,C,25,7,2,107,9,34,0.265,1,5,0.2,8,29,0.276,0.279,0,2,0,15,23,38,2,3,4,3,15,19,TOR,2024,willima11
18689,Mark Williams,C,22,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,CHO,2024,willima07
18690,Patrick Williams,PF,22,43,30,1174,159,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429,CHI,2024,willipa01
18691,Robert Williams,C,26,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,POR,2024,williro04
18692,Vince Williams Jr.,SG,23,52,33,1436,169,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,MEM,2024,willivi01
18693,Ziaire Williams,SF,22,51,15,1038,150,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420,MEM,2024,willizi02
18694,Zion Williamson,PF,23,70,70,2207,624,1094,0.57,6,18,0.333,618,1076,0.574,0.573,347,494,0.702,122,284,406,352,77,47,193,159,1601,NOP,2024,willizi01
18695,D.J. Wilson,PF,27,2,0,15,4,6,0.667,2,2,1,2,4,0.5,0.833,0,0,,1,1,2,2,0,2,0,1,10,PHI,2024,wilsodj01
18696,Jalen Wilson,PF,23,43,3,664,76,179,0.425,24,74,0.324,52,105,0.495,0.492,38,46,0.826,47,84,131,45,11,4,19,48,214,BRK,2024,wilsoja03
18697,Dylan Windler,SF,27,17,0,108,15,30,0.5,13,27,0.481,2,3,0.667,0.717,0,0,,3,13,16,10,2,0,2,6,43,TOT,2024,windldy01
18698,Dylan Windler,SF,27,3,0,7,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,1,0,0,0,1,3,NYK,2024,windldy01
18699,Dylan Windler,SF,27,8,0,28,4,9,0.444,4,8,0.5,0,1,0,0.667,0,0,,0,3,3,6,0,0,0,2,12,LAL,2024,windldy01
18700,Dylan Windler,SF,27,6,0,73,10,19,0.526,8,17,0.471,2,2,1,0.737,0,0,,3,9,12,3,2,0,2,3,28,ATL,2024,windldy01
18701,James Wiseman,C,22,63,6,1091,187,305,0.613,0,2,0,187,303,0.617,0.613,72,102,0.706,110,226,336,54,12,39,66,141,446,DET,2024,wisemja01
18702,Isaiah Wong,SG,23,1,0,4,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,0,0,2,IND,2024,wongis01
18703,Christian Wood,PF,28,50,1,872,123,264,0.466,35,114,0.307,88,150,0.587,0.532,66,94,0.702,39,215,254,49,16,33,50,72,347,LAL,2024,woodch01
18704,Delon Wright,PG,31,47,1,742,74,188,0.394,25,68,0.368,49,120,0.408,0.46,37,45,0.822,19,67,86,119,54,11,14,32,210,TOT,2024,wrighde01
18705,Delon Wright,PG,31,33,0,456,48,122,0.393,14,38,0.368,34,84,0.405,0.451,24,29,0.828,13,46,59,82,35,8,11,22,134,WAS,2024,wrighde01
18706,Delon Wright,PG,31,14,1,286,26,66,0.394,11,30,0.367,15,36,0.417,0.477,13,16,0.813,6,21,27,37,19,3,3,10,76,MIA,2024,wrighde01
18707,Thaddeus Young,PF,35,33,6,439,65,108,0.602,1,7,0.143,64,101,0.634,0.606,6,15,0.4,46,57,103,57,23,5,15,49,137,TOT,2024,youngth01
18708,Thaddeus Young,PF,35,23,6,350,54,87,0.621,1,6,0.167,53,81,0.654,0.626,5,12,0.417,29,46,75,50,18,3,11,38,114,TOR,2024,youngth01
18709,Thaddeus Young,PF,35,10,0,89,11,21,0.524,0,1,0,11,20,0.55,0.524,1,3,0.333,17,11,28,7,5,2,4,11,23,PHO,2024,youngth01
18710,Trae Young,PG,25,54,54,1942,433,1008,0.43,175,469,0.373,258,539,0.479,0.516,348,407,0.855,23,126,149,583,72,11,235,109,1389,ATL,2024,youngtr01
18711,Omer Yurtseven,C,25,48,12,545,99,184,0.538,5,24,0.208,94,160,0.588,0.552,19,28,0.679,72,136,208,29,8,18,37,52,222,UTA,2024,yurtsom01
18712,Cody Zeller,C,31,43,0,320,26,62,0.419,1,3,0.333,25,59,0.424,0.427,23,38,0.605,48,64,112,39,9,5,16,45,76,NOP,2024,zelleco01
18713,Ivica Zubac,C,26,68,68,1794,337,519,0.649,0,0,,337,519,0.649,0.649,120,166,0.723,196,430,626,93,22,83,79,180,794,LAC,2024,zubaciv01
